D;Lambda;P;T;DT;Rth;PI0=Rth.Lambda.D;PI1=e/D
0.1;0.5;35.852;356.15;56.15;1.566160884;0.078308044;0.001
0.1;0.5;35.884;356.55;56.55;1.57591127;0.078795563;0.0015849
0.1;0.5;35.935;357.16;57.16;1.590649784;0.079532489;0.0025119
0.1;0.5;36.016;358.06;58.06;1.612061306;0.080603065;0.0039811
0.1;0.5;36.143;359.38;59.38;1.642918407;0.08214592;0.0063096
0.1;0.5;36.346;361.28;61.28;1.686017719;0.084300886;0.01
0.1;0.5;36.666;363.95;63.95;1.74412262;0.087206131;0.015849
0.1;0.5;37.175;367.67;67.67;1.820309348;0.091015467;0.025119
0.1;0.5;37.98;372.89;72.89;1.919167983;0.095958399;0.039811
0.1;0.5;39.257;380.45;80.45;2.049316046;0.102465802;0.063096
0.1;0.5;41.28;391.55;91.55;2.217781008;0.11088905;0.1
